2, 0, -1, 0
1, 0, -1, -1
0, 1, 0, 0
0, 0, -1, -1
1, 1, 0, -1
0, 0, 0, 0
1, 0, -1, 0
1, 0, 0, 0
0, 0, 0, 0
0, -1, 0, 0
0, 0, 0, 0
0, 0, 0, -1
0, 0, 0, 0
2, 0, -3, 0
4, 0, -4, 1
4, -2, -4, 2
2, -2, -1, 2
0, 0, 1, -3
-4, 6, 7, -8
-10, 6, 9, -2
-5, 1, 0, -2
0, 3, 0, -2
-1, 0, 0, 0
2, 0, -2, -1
1, 1, 0, 0
0, 0, -1, 0
2, 1, -1, 0
0, 0, 0, 1
1, -1, -1, 0
0, 0, 0, 0
0, 1, 0, -1
1, 1, -1, -1
1, 0, -1, 0
1, 0, -1, 0
1, -1, 0, 2
0, -1, -1, 0
1, 0, -1, 0
1, 0, -1, 0
2, -2, -3, 2
4, -2, -1, 2
0, -3, 0, 2
0, 0, 0, -2
-1, 2, 0, 0
0, 0, -1, 0
2, 0, -1, 0
2, 0, -2, 0
2, 1, -1, 0
0, 0, -1, 1
3, 0, -3, -2
2, 2, -1, -1
1, 1, -2, -1
0, 0, 0, 0
2, 1, -1, -1
1, 0, -1, 0
1, 0, -1, 0
1, 0, 0, 0
0, 0, 0, -1
0, 1, 0, -1
0, 0, -1, 0
2, 0, -2, -1
1, 1, 0, 0
0, -1, 0, 1
0, 0, 0, 0
0, 1, 0, -1
1, 2, -2, -2
2, 1, -3, -1
5, 3, -5, -5
3, 6, 0, -4
0, 0, 0, 1
1, -1, -1, 0
0, -1, 1, 1
-1, -1, 1, 1
-1, -2, 1, 3
1, -2, -2, 0
1, 1, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, -1, 0
1, 0, 0, 0
-1, -1, 1, 3
0, -1, -2, -1
1, 3, 0, -3
-1, 1, 0, 0
1, 0, -3, -2
2, 2, 0, -2
0, 0, 0, 0
1, 0, 0, 0
0, -1, 0, 2
2, -1, -3, 0
3, 1, -1, -1
1, 1, -1, -1
0, 2, 1, -1
-2, -1, 1, 3
1, -2, -3, 1
4, -1, -5, 0
5, 0, -3, -1
1, 0, -1, 0
2, 0, -3, -2
2, 2, 0, 0
-1, -3, 0, 4
1, -2, -1, 0
1, 1, -1, -2
1, 3, 0, -2
0, 0, 0, 0
1, 0, -1, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, -1, 0
2, 0, -2, 0
1, 0, -1, 2
2, -1, -3, 0
1, 1, 1, 0
-2, -1, 1, 2
0, -2, -1, 1
2, -1, -2, 2
3, -2, -3, 1
3, -1, -2, 0
1, 0, 0, -1
0, 2, 0, -1
0, 0, -2, 0
3, 0, -2, 0
0, 0, 0, 1
0, -1, -1, 0
1, 1, 0, -1
0, 0, 0, 0
0, 0, 0, 2
0, -3, -1, 3
3, -1, -3, 0
1, 1, -1, 0
1, 0, -2, 0
2, 0, -3, 0
2, 0, 0, -1
0, 0, 1, 1
0, -2, -3, 1
4, 0, -3, -2
1, 2, 0, 0
-1, 0, 0, 1
0, 0, 1, 1
-1, -1, 0, 1
0, 0, 0, 0
1, 0, -1, 0
1, 1, 0, -1
0, 0, 0, 0
1, 0, -2, 0
1, 1, -1, -2
0, 2, 0, -1
-1, 1, 1, -7
-5, 9, 10, 11
4, -44, -47, 43
79, -2, -58, -32
3, 28, 36, -5
-42, -3, 33, -5
-24, 17, 16, -28
-12, 35, 13, -27
-9, 5, -7, 8
23, -2, -18, -6
-4, -1, 18, 23
-7, -33, -14, 16
17, 9, 0, -23
-14, 31, 19, -31
-23, 8, 16, 26
4, -35, -15, 13
0, 14, 26, -28
-45, 19, 45, 8
-18, -35, -27, 28
54, 8, -35, -38
-14, 33, 52, -3
-48, -15, 17, 2
5, 28, -1, -49
-16, 44, 28, -26
-29, -1, 15, 57
42, -113, -144, 89
191, 3, -117, -56
-4, 27, 63, 30
-36, -51, -18, 27
43, 8, -29, -23
0, 16, 24, 2
-34, -18, 26, 21
-12, -10, 0, -4
2, 13, 1, -9
-4, 0, 3, -2
-8, 17, 28, -23
-48, 6, 46, 14
-24, -20, 2, 15
10, -7, -11, -2
0, 6, 12, -2
-16, -2, 11, 5
-4, -4, -1, 2
3, 1, 0, -3
-4, 0, 9, 8
-6, -12, -3, 3
9, 11, -2, -18
-13, 7, 23, 8
-5, 0, -29, -40
39, 74, -21, -68
30, 60, -76, -92
88, 124, -34, -90
-23, 7, 30, 52
-3, -58, -12, 34
1, -17, 15, 17
-23, -25, 21, 28
-14, -23, 7, 14
-1, -3, -2, -6
2, 10, 2, -4
-9, -9, 13, 24
-9, -30, 3, 22
-2, -12, 6, 6
-7, -2, 2, -2
-2, 3, 7, 4
-8, -13, 0, 10
15, 7, -23, -27
17, 33, -5, -22
0, 6, -3, 1
6, -2, -4, 1
0, -2, 4, 6
-5, -7, 2, 4
0, 0, 0, -2
-4, 0, 8, 8
-4, -9, -8, -2
14, 16, -8, -20
1, 13, 0, -5
3, 0, -3, 1
1, -3, 0, 4
0, -3, -2, 0
2, 1, -1, -1
1, 1, -3, -2
6, 5, -7, -7
4, 6, -1, -3
1, 0, -4, -3
5, 8, -1, -10
-3, 6, 5, -2
-4, 0, 4, 0
-4, -2, 1, 2
1, 0, -2, -1
0, 0, 0, 0
1, 0, -6, -6
8, 12, -5, -14
2, 9, 0, -3
0, -1, -1, 4
0, -4, 0, 5
-3, -7, 6, 10
-7, -11, 3, 7
0, -2, 0, -1
-1, 1, 0, 0
2, 1, -5, -2
7, 5, -7, -7
3, 3, 3, 6
-3, -12, -2, 8
6, 1, -4, -8
0, 7, 1, -3
3, 2, -8, -5
8, 7, -4, -4
3, 1, -5, -2
6, 3, -2, -1
1, 0, -4, 0
7, 6, -5, -8
1, 7, 0, -3
2, 2, -5, -3
6, 4, -4, -2
1, -1, 0, 3
-1, -4, 2, 4
-3, -4, 4, 4
-4, -5, 4, 4
-3, -3, 2, 1
